Name,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude
Substation Pavilion,2014,In place,Concrete Pavilion,"Substation Pavilion consists of a small structure constructed of board-formed Ductal concrete, steel and glass, with a door that hints at a possible entrance (although in this case it is merely adecoy). There are windows on two sides, adding to the illusion of some kind of use value implicit to its presence on the site. The windows are utilitarian, institutional, industrial, with frosted security glass containing wire that obscure a direct line of site into the structure. Within the pavilion is a single, dim light. The pavilion sits immediately to the east of the entrance to the Meccanica development on the corner of First Avenue and Quebec Street in Vancouver, BC. The design borrows from the artdeco influenced electrical substations that are interwoven in Vancouver’s urban fabric. The piece looks as if it has been a long-term tenant of the site, as if it belongs to the area and is a relic of an earlier age. The illusion of its permanence is ruptured by a number of elements that disturb a simple and seamless inclusion in the local vernacular. The pavilion’s design references utility and yet as a consequence of the breaking up of vertical relations within the piece it becomes obvioussomething else is going on. What possible use could be made of a structure that seems to have no level floor, let alone barely enough room to turn around in? Why would so much attention be paid to the design of such a small and inconsequential piece of infrastructure?Substation Pavilion’s design hints at the networks of subterranean connections with the rest of the city and with the past of the site itself. The entire area of False Creek consisted of a marshy wetland prior to its infill. This program of ‘reclaiming’ the tidal areas of Vancouver allowed for the development of the rail yards and industrial infrastructure at the east end of False Creek. This established a horizontal approach to looking at and moving through the growing city, tied as it was to these rail lines. The vertical tendencies of this project aim to introduce the rupturing of the quotidian relationship with the horizontal that dominates movement through the city. The strata formed in the soil of the False Creek area carry the history of the settlement of the area. The networks of the rail yards spread the stories of the people passing through them,creating layers within the cultural memory of the city. Over the years this cultural detritus molds and rots just as the soil and the structures of the area do. Together they form a humus thatcontains the mold that supports life in the city, spreading underneath every structure we build and every story we tell. This is a fertile substrate, not one given to decay and destruction. It supports connections and unexpected developments, much as the rhizomorphic systems of a large fungus will remain hidden, spreading underground and only exhibiting its presence once ayear with its short-lived mushroom heads. It is a constantly shifting and ever-present narrative running just below the surface of the city.Cedric BomfordOctober, 2014",Meccanica,108 East 1st Avenue,Mount Pleasant,49.270023,-123.10182
Landscape: Possessing Numerous Peaks and Ripples ,2016,In place,"Huang Zhiyang’s artwork consists of twelve white marble sculptural forms fronting Georgia Street in downtown Vancouver. Eleven of these human scale 3-dimensional forms with textured undulating lines titled, Landscape: Possessing Numerous Peaks are scattered across the central plaza. A single 2- dimensional marble wall piece titled Ripple is situated on the East Plaza Wall in conversation with the ground-mounted works occupying the central plaza.","""Trump Public Plaza presents an ensemble of humanity, art and nature. The flow of space, parallel and undulating lines, white marble textures, range upon range of pinnacles which symbolizes all creatures amid heaven and earth. Natural order, ethics and humanity coexist in harmony. Calmness overflows corresponding with the serenity of the sky, the sea and the land, respectfully. Quiet and peaceful, the scene (artwork) offers a pleasant habitat to live, work, and walk around or even lie down for a rest.” – Huang Zhiyang",Trump International Hotel & Tower Vancouver,1161 West Georgia Street,Downtown,49.286844,-123.124153
"Semi-Public: Vancouver Especially (A Vancouver Special scaled to its property value in 1973, then…",2015,In place,"""Vancouver Especially is a 1:3 scale replica of a mass-produced, Vancouver architectural style of homes known as the ""Vancouver Special"", popularized from 1965 to 1985 with an estimated 10,000 homes built. The scale of the artwork is determined by the $45,000 production budget, comparable to the value of a Vancouver Special in the 1970's. If one were to buy a Vancouver Special with that budget today, it would be tiny (see the small relief in the platform for the actual scale); thus the artwork was multiplied eightfold. Despite it's diminutive presence, the artwork would be most appropriately considered an enlargement of accepted value."" - Courtesty 221A Artist-Run Centre Society, Vancouver",,Outdoor Site: 221 A Gallery - Union St. & Gore St.,271 Union Street,DowntownEastside,49.277893,-123.097363
Land and Sea,2014,In place,"Contemporary Coast Salish designs come to life in two light boxes, over 4-storys each, installed on the copper facades facing inwards to the central plaza at 8555 Granville Street.   Designed by brother and sister team, artists Thom and Kelly Cannell, the panels tell a contemporary tale about their homeland, and depict creatures of the Land (green) and the Sea (blue).  Each light box is shaped as a fragment of a circle,  the shape of a spindle whorl which was utilized when spinning the yarn used in Coast Salish weaving.  (Examples of Musqueam weaving can be seen in the display case in front of the Safeway store along Granville street).  Creations in weaving have been passed down for countless generations.  The artists’ grandmother, Edna Grant, was taught to weave by her mother, who was taught by her mother, and so on. Her designs could be recognized up and down the coast.  Not unlike a crest, weaving designs symbolize lineage.  This is true in carving, weaving, painting, and dancing.  The artists are proud of this legacy and acknowledge it in this artwork.","""Land is usually depicted as steady and stable, Sea as unpredictable, and Sky as free spirited."" Our account of Land and Sea is a contemporary tale about our homeland. Legends have been thought about time immemorial and passed on from generation to generation. They are contemporary tales because the story is always changing. An Eagle’s spirit, or the spirit of a bear is not always the same thing. Different characteristics and different places mean different things. Kelly and I have created a contemporary design that demonstrates the way nature flows together. In some cases you will see water flowing down a stream, or the wind blowing through the trees, or the trees themselves and their underground roots. Land is: blades of grass, a deer is prancing through from the forest just for the fun of it. A beaver emerges through the reeds at shore, looking for another tree to chew down; he has found it, but is weary of predators all the time. This time, only small creatures of the forest are hidden. Sea is: the west coast dream. Killer whales are chasing salmon around the Salish Sea. Kelp is flowing in the currents, maybe it is herring spawning season. Flounders down below are oblivious to another world above the surface. Cod are hiding amongst the rocks waiting for an easy meal. Life is transient, hardly still, even though we don't see it, branches are deliberately growing, underwater habitats are being bathed with the tide and water vapors rise into the atmosphere to fall far away. Happenings are all around us, ready to be re-discovered again and again. The broken circle of each design element refers to fragmented spindle whorl artifacts and the separations we see between these elements. Only when we see the whole picture together will the circle be complete. Our home is to inspire people to look closer in order to understand the subtleties and multitude of factors involved in our world.",Granville at 70th,8555 Granville Street,Marpole,49.209415,-123.141154
Shore to Shore,2015,In place,"The artwork is a 14-foot bronze sculpture with life-sized representations of Portuguese Joe Silvey and his Coast Salish wives, Khaltinaht and Kwatleematt. The site of the sculpture is Brockton Point in Stanley Park, the historical location of a small community where Silvey and his first wife Khaltinaht resided.The work celebrates the ancestral connection of Coast Salish and Portuguese communities in Vancouver.",,Brockton Point,Stanley Park,Stanley Park,49.300834,-123.117473
Nail Farm,2014,In place,Nail Farm is a public art project that takes the form of a barn ruin on a residential building site. The sculpture serves as a structure to facilitate urban agriculture activity. The deconstructed barn provides all of the required infrastructure in an optimized setting to grow food and plants for the residents of the LIDO development.,"At once romantic and fantastic, Nail Farm seeks to reconcile the desire to satisfy city-self and country-self, the inherent drive in urban agriculture. The barn is based on a local gambrel roof barn. It is abstracted to the point where it can be seen more as a lattice system to use for the growth of plants. The implied animal stalls become the grow beds. The entire footprint of the project is covered in 2' deep growing medium and can therefore be used as a ground forgrowing anything. Even the paths can potentially be overgrown. It is the aim of the project to provide a unified, total ""planter"" as an interesting alternative to the more typical community garden topology of segregated 'grow boxes'.",LIDO,1650 Quebec / 110 Switchmen Street,Mount Pleasant,49.270879,-123.101653
Still Here,2016,In place,"3,3m long spawning salmon and a stream of tiny blue lights visible at night marking the lost stream beneath the plaza.","A stream once flowed here on its way to Renfrew Ravine. The City’s storm-drain still follows the path of the stream beneath us.It flows into Still Creek where, after many decades of absence, salmon spawn again. This is a place rich with story and memory.Text credits Skwxu7mesh Snichem (Skhomesh language): T'uy't'tanat (Cease Wyss); Poetry: J. D. Morden, Isaac Rosen-Purcell; Local Memories: Cathie Folkard, The Engelland family, Steve Webb, “East Enders Reunion” group.Special thanks to Ken Clark, Sarah Rankin, Alex Chisholm, January Wolodarsky, Sanderson Concrete – Jan Arntorp, Jamie Allen and team, BL Lighting, Durante-Kreuk, Henning Knoetzele, Still Moon Arts Society.",Skyway Plaza,2699 Kingsway,Renfrew-Collingwood,49.238699,-123.0499
Welcome Figure,2006,In place,The standing Welcome Figure was erected by the Squamish Nation. The land was once the site of a traditional Squamish village called Sun'ahk.,,,,Kitsilano,49.274429,-123.13875
Three Carrara Marbles,2012,In place,,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.239068,-123.134604
Departure,2013,In place,Man and woman sitting on a bench.,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.239068,-123.134604
Transformation Plant,2012,In place,"Fabricated in situ by New Zealand artist Chris Booth as part of Earth Art 2012, nac???t??p “Transformation Plant” was created in consultation with elders and key members of the Musqueam Indian Band who also bestowed its name.nac???t??p “Transformation Plant” is a collaboration with nature and community – living earth art. Musqueam elders advised that the small juvenile tree planted in the center should be the highly revered western red cedar. Over the years, as the fungi breaks down the stacked wood recycling it into humus, the red cedar will flourish into a beautiful tree while the stone slabs (‘petals’) will slowly open up like a flower.","Like Booth’s other wood and stone works such as Tranekaer Vader, 1998 and Zunderschwamm, 1999   nac???t??p “Transformation Plant” harnesses the great recycling ability of fungi to facilitate a very long term (30 +/- years) kinetic living earth art work.In doing these living works, it is one of the artist’s aims to highlight the wonders of fungi, the most extensive of all living organisms and one of our most ancient sources of food and medicine.  This ancient and generally lesser known plant-like organism is vital to all life on earth, yet is threatened by human activities.  The uncontrolled build-up of manmade greenhouse gas emissions is making our atmosphere inhospitable ? even toxic ? to life as we know it. The devastation caused by people is happening around us on an ever-increasing scale. Hopefully, these living earth art works will educate the visitor to be wiser – to become proactive in reversing this spiraling catastrophe.",VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.239068,-123.134604
Confidence,2012,In place,,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.239068,-123.134604
Zipper,2012,In place,,,VanDusen Botanical Gardens,5251 Oak Street,Shaughnessy,49.239068,-123.134604
Robson Park Community Mural,2015,In place,"Artist Lindsey Adams led the design and development of a community mural in order to revitalize and enhance public space. The mural captures ideas generated by local non-profit organizations, community members, and park users, leading to the development, design, and painting of this mural.","This was an opportunity to create local, meaningful, and immediate improvements with the neighbourhood.",Robson Park,Robson Park at St. George Street and 13th Avenue,Mount Pleasant,49.25851,-123.092673
Watch Seller,2015,In place,,,Main Street-Science World Station,Main Street and Terminal Avenue ,Downtown,49.273296,-123.100627
RGB,2018,In place,"Michael Lin uses the glass cladding of the church as a coloured canvas, aligning itself to the history of stained glass windows in places of worship. The artwork title “RGB” refers to the additive model of reproducing colours with light (red, green, and blue). The three colours can also be seen to symbolize the Trinity. A fritted glass pattern comprised of over 1,000 crosses on each large panel of glass are repeated across the windows of the church facility. Nine different intuitive arrangements of crosses, three arrangements for each of the three colours, create an overall, organic, swarming pattern. The architecture appears porous as light passes through the windows and the shadows of the crosses spill across the interior surfaces.","The simple unadorned cross was chosen to create a pattern in order to de-emphasize its form. With over one thousand crosses on each large panel of glass and approximately two hundred thousand crosses that cover the windows of the CPC, each individual cross becomes the building block or pixels that creates a larger whole. Along with the intuitive arrangements of the crosses, which create a contrast to the rigid grid of the building, these organic swarms of crosses seek to visually erode the architecture making it more porous, almost formless, allowing for a gentler interface with its surroundings.Similar to ambient music, with an emphasis on tone and atmosphere over structure and rhythm, “RGB” seeks to reflect the diversity and inclusiveness of the Central Presbyterian Church and the surrounding West End community.",Central Presbyterian Church,1108 Pendrell Street,West End,49.281347,-123.130676
The Eyes of the People,2009,In place,"This stained glass work is inspired by traditional Coast Salish woven cedar bard, and depicts a traditional eye motif. Here the eye represents the eyes of the people, past, present, and future. It was created and inspired by the Vancouver 2010 Olympic and Paralympic Winter Games. This work incorporates blue glass that was recycled from the site's previous ice rin.",,Killarney Community Centre,6260 Killarney Street,Killarney,49.227641,-123.0443
Dichroic Vancouver,2015,In place,"Four thin bands of dichroic glass are embedded into the southeast and southwest facades of the tower. The glass changes colour depending on where one stands, in combination with the atmospheric and climatic conditions of the moment. During the weekdays, the lights are a soft shimmering pattern of green. On Fridays, Saturdays, and Sundays, the lights change to a very broad sequence of 23 different light shows.","This art project challenges the existing chromatics of downtown Vancouver. In a city known for architecture of greys, muted greens and blues, the resulting mass of construction can appear monolithic and somber at times, with only the occasional splash of colour. When these colours do occur, they seem almost jarring - too powerful and unresponsive to changes in light and weather. ""Dichroic Vancouver"" introduces a set of colour-changing bands of glass to the new Manulife Financial office building. Four delicate lines of dichroic glass are integrated into the southeast and southwest facades to bring nuances of shifting colour to viewers. The hues are affected by climatic and light modulations in the sky. Like weather and emotion, all is in a constant state of change. Viewers witness surprising and changing conditions of light and colour; a welcome addition to a sometimes monochromatic city. ""Colour is a power which directly influences the soul."" - Wassily Kandisky, Concerning the Spiritual in Art",Manulife Tower,980 Howe Street,Downtown,49.280167,-123.1233
Simon Fraser,2015,In place,"Modeled in the pose of Auguste Rodin's The Thinker (1887-1889), ""Simon Fraser"" is a bronze sculpture created to celebrate and honour the explorer Simon Fraser. Simon Fraser's successful exploration of the mighty Fraser River in 1808 was an important journey of discovery, as well as pivotal for the Fraser River's role as a commercial transportation hub for British Columbia.","""I wanted a work of art that asks the viewer to reflect on the changes that have taken place in the Vancouver area since the days of Simon Fraser. Viewers are asked to subject themselves into the position of Simon Fraser by thinking what he may be thinking about, by pondering the question of what he would think of the present that has been constructed. There are no answers as the aim is to think and reflect on the identity of the Vancouver region."" - Ken Lum",Marine Gateway,450 SW Marine Drive,Marpole,49.210258,-123.1157
Tools of the Fraser River,2015,In place,"""Tools of the Fraser River"" is an encyclopedic depiction of the tools associated with the Fraser River throughout history. ""Tools of the Fraser River"" and ""Fraser River Stories"" are complementary pieces by Geoffrey Farmer's Every Letter of the Alphabet Printing Ltd.",,Marine Gateway,450 SW Marine Drive,Marpole,49.210272,-123.1157
Salish Gifts,2015,In place,"""Salish Gifts"" is a series of four sculptural seating vessels created by Musqueam artist Susan Point using traditional symbols to celebrate her people's culture and the importance of the Fraser River to the Musqueam. Original Coast Salish designs are cast into concrete baskets and bronze spindle whorl lids, which then rest on traditional reed mats represented by colourful stone tile. Original old growth cedar spindle whorl carvings, used to create the cast bronze lids for ""Salish Gifts"" are also on display at the office lobby at 450 SW Marine Drive.",,Marine Gateway,450 SW Marine Drive,Marpole,49.210272,-123.1158
Journey & Protector,2009,In place,"Two (2) paintings depict a birchbark canoe traveling from the East (home of the artist) to the West (site of the 2010 Olympic and Paralympic Winter Games). The chief within the boat carries his gifts and culture to the West, and he emanates mercy. These paintings are an expression of modern and traditional communication.",,Killarney Community Centre,6260 Killarney Street,Killarney,49.227634,-123.0444
"Ngashi Niiji Bineshiinh: Mother, Friend, Small Bird",2009,In place,"Created for the 2010 Olympic and Paralympic Winter Gamres, these clear cast vinyl panels reflect the relationship between the physical and spiritual worlds. Above the depiction of Turtle Island is the Thunderbird, reminding people to give thanks for all the things we take and use, and to replenish and respect our resources. The many animals depicted indicate harmony among creatures, and their innards are exposed, showing their strength.",,Pacific Colliseum,2901 E Hastings Street,Hastings-Sunrise,49.280674,-123.03489
The Unseen,2016,In place,"""The Unseen"" is a backlit channel-letter sign affixed to the north façade of the building. ""The Unseen"" is over fifty-five feet and four inches high and composed of mirror-finished stainless steel letters adhered to the top seven floors of the building in a vertical form reading top to bottom.","Vancouver based artist Ron Terada often produces works that make use of language, or take text as their primary subject matter. His artistic practice is influenced and shaped by a history of conceptual art as it relates to the processes and strategies of mass media. Terada's interest in modes of advertising and public communication is present in his commissioned work for 601-627 Main Street. ""The Unseen"" is a small monument to the perserverance of historical memory, and perhaps, to the many unseen labours that contributed to the making of today's Chinatown. ""The Unseen"" will facilitate excitement, curiosity, contemplation and dialogue, for both visitors and the community, for years to come.",,601-627 Main Street,DowntownEastside,49.279635,-123.0997
Fraser River Stories,2015,In place,"""Fraser River Stories"" is a written timeline of the Fraser River structured poetically and organized by the river's geography. ""Tools of the Fraser River"" and ""Fraser River Stories"" are complementary pieces by Geoffrey Farmer's Every Letter of the Alphabet Printing Ltd.",,Marine Gateway,450 SW Marine Drive,Marpole,49.210293,-123.1157
Ebb and Flow,2015,In place,"""Ebb and Flow"" is a 55-meter animated light installation on Marine Gateway's 29th storey south tower façade. It connects us to Vancouver's maritime environment by visualizing the twice-daily rise and fall of the local tide. A glowing white light glides up and down the ""scale"" of the tower, backed in green light as the tide goes out (ebb), then changing to blue as it comes in (flow). As the tide shifts, the faint trail of white light tells you if it is rising or falling. Each two floors of the building represent roughly one foot of tide height.",,Marine Gateway,450 SW Marine Drive,Marpole,49.210483,-123.1158
SWELL,2015,In place,"""SWELL"" illuminates the transit wall of the Marine Drive Station of the Canada Line with dramatic waves of light, created based on real ocean waves. ""SWELL"" is a dynamic distillation of ""Ebb and Flow's"" larger-scale tidal movement.",,Marine Gateway,450 SW Marine Drive,Marpole,49.210244,-123.1158
North Lobby,2015,In place,"""North Lobby"" is a large-scale high realism painting based on an original architectural photograph by Marine Gateway's architect Perkins + Will. The placement of the painting at the lobby entry prompts visitors and users to connect their interior environment to the larger exterior built form of the building they are standing in.",,Marine Gateway,488 SW Marine Drive,Marpole,49.210534,-123.117
South Lobby,2015,In place,"""South Lobby"" is a large-scale high realism painting based on an original architectural photograph by Marine Gateway's architect Perkins + Will. The placement of the painting at the lobby entry prompts visitors and users to connect their interior environment to the larger exterior built form of the building they are standing in.",,Marine Gateway,489 Interurban Way,Marpole,49.209633,-123.1166
Salish Sea Waters,2016,In place,,,Vancouver City Hall,453 West 12th Avenue,Mount Pleasant,49.260791,-123.1139
WHERENESS,2016,In place,"WHERENESS is composed of six aluminum cast boulders with one original ‘glacial erratic’ granite boulder at the base, sourced from the Cambria site, fixed in a tower shape around a steel axis. The work is 20’ high and 4’ in diameter. The aluminum boulders have a natural aluminum colour and protective finish. A concrete slope and foundation topped with loose-fill river rock is at the base of the stone tower.","WHERENESS pays reverence to the eternal land by connecting the past to a present which is continually unfolding. A glacial boulder was selected from the earth at the project site, and six replica ‘boulders’ were cast from aluminum. WHERENESS provides a tactile link and landmark between the area’s geological past and its current situation. It is a visual puzzle to be examined and contemplated ‘in the round.’ WHERENESS acknowledges an ancient human practice of piling rocks at certain points along pathways to guide travelers. This 20’ tall column of boulders creates a new ‘point along the way’ for an emerging neighbourhood on the Cambie corridor in Vancouver.",Cambria Park,516 West 50th Avenue,Oakridge,49.224892,-123.117143
Handhug,2016,In place,,,J.J. Bean,3010 Main Street,Mount Pleasant,49.258439,-123.1007
Dire Wolves,2016,In place,,,49th Parallel,2902 Main Street,Mount Pleasant,49.259128,-123.100775
Sutton Boys,2016,In place,,,Thyme to Indulge,2858 Main Street,Mount Pleasant,49.259491,-123.100724
Lover,2016,In place,,,Dulux,2630 Main Street,Mount Pleasant,49.261477,-123.100626
System,2016,In place,,,BAF,108 East Broadway,Mount Pleasant,49.262667,-123.102565
Serve/Protect,2016,In place,,,BAF,108 East Broadway,Mount Pleasant,49.262667,-123.102565
Solar Vacation,2016,In place,,,VGH,120 East Broadway,Mount Pleasant,49.262663,-123.102385
The Present is a Gift,2016,In place,,,Belvedere Court,2539/2549 Main Street,Mount Pleasant,49.262289,-123.101425
The Harpy and the Medusa,2016,In place,,,333 East Broadway,333 East Broadway,Mount Pleasant,49.263048,-123.098153
Horns,2016,In place,,,Guys and Dolls,2434 Main Street,Mount Pleasant,49.263363,-123.100597
Box of Crayons,2016,In place,,,Hootsuite,5 East 8th Ave,Mount Pleasant,49.264005,-123.104217
Exhausting Machine,2016,In place,,,Arts Factory,281 Industrial Avenue,Strathcona,49.27062,-123.099713
Yama and Mara,2016,In place,,,Arts Factory,281 Industrial Avenue,Strathcona,49.27062,-123.099713
Trypophobia,2016,In place,,,Arts Factory,281 Industrial Avenue,Strathcona,49.27062,-123.099713
Van City Scape,2016,In place,,,Arts Factory,281 Industrial Avenue,Strathcona,49.27062,-123.099713
Kids,2016,In place,,,Arts Factory Annex,246 Southern Street,Strathcona,49.270695,-123.098
We’re looking for People Who Like to Look for People,2016,In place,,,Arts Factory Annex,246 Southern Street,Strathcona,49.270889,-123.0987
Early Birds,2016,In place,,,Arts Factory Annex,246 Southern Street,Strathcona,49.270875,-123.0987
Smart Phone Slavery,2016,In place,,,,221 East 10th Avenue,Strathcona,49.262352,-123.1
Untitled,2016,In place,,,"Rize, Lower Hoarding",283 East 10th Avenue,Strathcona,49.262196,-123.0987
The Mad Symphony,2016,In place,,,Fontile (A),237 Southern Street,Strathcona,49.270913,-123.098821
Floating (Eye)Land,2016,In place,,,Fontile (B),237 Southern Street,Strathcona,49.270913,-123.098821
"Everything Matters, Nothing’s Important",2016,In place,,,Fontile (D),237 SOUTHERN STREET,Strathcona,49.270913,-123.098821
Knot Yourself,2016,In place,,,Fontile (E),237 SOUTHERN STREET,Strathcona,49.270913,-123.098821
Elle Matador,2016,In place,,,Bodega,1014 Main Street,Strathcona,49.275459,-123.099522
Coffee Rosetta,2016,In place,,,Kafka's Café,2525 MAIN STREET,Strathcona,49.262428,-123.101419
Factory Interior,2016,In place,,,Makerlabs,780 East Cordova,DowntownEastside,49.281801,-123.087695
I Ate a Whole Raccoon,2016,In place,,,Makerlabs (B),780 East Cordova,DowntownEastside,49.281801,-123.087695
Armourer,2016,In place,,,Makerlabs (C),780 East Cordova,DowntownEastside,49.281801,-123.087695
Wavy Wetcoast,2016,In place,,,Makerlabs (D),780 East Cordova,DowntownEastside,49.281801,-123.087695
Untitled,2016,In place,,,Makerlabs (E),780 East Cordova,DowntownEastside,49.281801,-123.087695
Tidal Recall,2016,In place,,,Makerlabs (F),780 East Cordova,DowntownEastside,49.281801,-123.087695
You Made It,2016,In place,,,Makerlabs,780 East Cordova,DowntownEastside,49.281801,-123.087695
Saying Goodbye,2016,In place,,,Café Barney,2526 Main Street,Strathcona,49.26251,-123.100581
Follow 4 Follow?,2016,In place,,,,2603 Main Street,Strathcona,49.261857,-123.10143
The Missing Piece,2016,In place,,,Hootsuite,5 East 8th Avenue,Mount Pleasant,49.264005,-123.104217
Stillness,2016,In place,,,Eight 1/2 Restaurant,153 East 8th Avenue,Mount Pleasant,49.263875,-123.101615
Failure To Communicate,2016,In place,,,The Rag Machine,2425 Main Street,Mount Pleasant,49.263244,-123.101441
Tag People,2016,In place,,,Low Tide Properties,333 East Broadway,Mount Pleasant,49.263048,-123.098153
Snapshots of History,2010,In place,Snapshots of History is a visual time machine. One panel depicts the Goon family. The other two panels of the mural feature a reproduction of a 1905 photo of a silk merchant in Chinatown and a rendering of a 1936 photo of men sitting outside a barber shop at Carrall and Pender. ,,,490 Columbia Street,DowntownEastside,49.280674,-123.101902
Untitled,2016,In place,,,Vancouver City Hall,453 W 12th Avenue,Mount Pleasant,49.261316,-123.113936
Playtime,2016,In place,"Playtime is a family of sculptural forms that are located in the Family Commons along Heather Street and 30th Avenue, creating an inviting public space along the Wellness Walkway at the BC Children's Hospital and BC Women's Hospital and Health Centre. As 'play-sculptures' that combine modernist sculpture, mid-century playground designs, and monochrome patterns, these sensuous organic forms will invite a more physical engagement than is normally allowed with public art, providing occasions for children, families, and staff to play. The vision of the artists is to engage audiences of all ages and abilities with the sculptures' tactile qualities and lift their spirits with their humour and playfulness, creating a transition zone between the everyday and the extraordinary.Playtime is originally inspired by the 'play-sculptures' of English sculptor John Bridgeman (1916-2004) and Danish architect and sculptor Egon Moller-Nielsen (1915-1959), the work of Henry Moore, and two female artists, Barbara Hepworth (1903-1975) and Bridget Riley (1931-present), all of whom were producing works around the same time.","Our vision for this public art project focused on the idea that 'playtime"" is itself a transition zone between the everyday and the extraordinary. Our goal was to develop a collection of works that the children, families, staff and general public could play with as part of the Wellness Walkway. Playtime encourages a more physical engagement with the work than is normally allowed with public art and was the core concept in the development of these works. Our hope is that what we have proposed will engage everybody through their tactile qualities and lift the spirits with their humour and playfulness.",BC Children's Hospital and BC Women's Hospital and Health Centre,4480 Oak Street,Shaughnessy,49.244555,-123.1209
Listening. On. Waking Terrain.,2017,In place,,"Underneath Main and Terminal and extending back towards present-day Clark Drive existed a biologically rich lagoon and marsh area that was used by the Tsleil-Waututh, Skwxwú7mesh (Squamish) and x?m??k??y??m (Musqueam) Nations since time immemorial. The area was covered over to make room for Industry and the CPR railway. The attempted erasure of the space by the colonial forces of the time was thorough and it continues to be built upon today. When looking at some of the public art in Vancouver and other cities we often see a romantic depiction of industrial beginnings and labour. What existed before is often covered and ignored. Knowing that my work will live in this space temporarily I feel it is important to acknowledge its history as well as its present-day. Vancouver is built upon unceded land, sacred sites, complex river and stream systems, hunting and cultivated gathering grounds. It is easy to get lost in the feeling of permanence that urban structures hold. The areas we walk, drive and live upon have place-names and a history of lived experiences.I have lived in Vancouver on and off for around 17 years. Since moving here I have been trying to understand my relationship with this place. I am of mixed Coast Salish ancestry (Klahoose and Sliammon) from my grandmother Agnes Pielle, as well as Wuikinuxv and Kwakwaka'wakw from my grandfather Johnny Hanuse. As a youth I learned that my Grandmother's Nations were historically unified with the Nations here and visually our iconography shares links. The relationship between Nations experienced rupture as a result of colonization. Visually it is important for me to work in continuum with my ancestors. It is also important for me to note that these images do not represent the space they will temporarily live upon, but reflect a relationship and respect for the land and water that my ancestors carried. I strive to continue in this mode of reverence for the spaces we come from and live upon. I also want to recognize my place as an uninvited guest in this space and continue to gain further understanding of it in my time here.An important part of the process in making these pieces has been listening. I have been in conversation with Skwxw’u7mesh artist/knowledge keepers T'uy'tanat (Cease Wyss) and her partner Xuuyaa, as well as other respected community members in the lead up to installing these pieces. I am grateful for their generosity of time and guidance. ",,220 Terminal Avenue,Downtown,49.272845,-123.09964
"Colour Seekers, The Colour Collector's Way",2018,In place,,"Groening’s quirky still lifes often include unlikely but not impossible juxtapositions. With colour, comfort, and curiousity leading, objects were chosen for their familiarityor for their particular presence. Each of the thirty-five, 5 x 8- foot glass panels is a composition created in colour stages. The inside viewer (hospital community or patients and staff?) is/are able to examine objects in detail over a 35 foot, colour-changing walkway mural, while the public art viewer sees an expanded version as colour spectrums spanning up five floors.Culled from her collection of jewel-toned glass objects and augmented by flea market finds and borrowed treasures, this giant-sized still life creates a spectrum of colour that is projected into the building in the afternoon and glows at night in a building-sized lightbox. Like large photographic slides, the transparent panels are mounted to a series of glass walkways that make up one wall of the internal atrium. The murals transform the hallways with the changing light, allowing inside viewers to experience a “colour walk” as the sun projects the art into the building and onto the light colored floor.",Joseph & Rosalie Segal Family Health Centre,803 West 12th Avenue,Fairview,49.261523,-123.123566
All My Favourite People Are Animals,2017,In place,All my favorite people are Animals is a sliding door panel made of cast bronze that sits in front of a one?way mirror. The small area between the mirror and the door is lit during library opening hours.,"The artwork responds to the architectural and cultural context of the VPL?s new n???ca? ?mat ct Strathcona Branch Library. It aims to highlight a sense of community despite visible economic and cultural diversity of the neighbourhood. The form is inspired by animals from the Strathcona neighbourhood, the historical precedent of narrative bronze doors in relief, and the phenomenon of “Head in the Hole” photo boards. Conceptually, it responds to the colour and texture in the community (particularly the murals), and the desire to identify oneself as part of a community. Bronze doors are heavy and have a ceremonial quality. Often covered in narrative reliefs, they are an early form of storytelling. What is the narrative here at the Library? The name, n???ca? ?mat ct, loosely translates as “we are one” in the Musqueam language, and the artwork responds to this sentiment. Introducing animals into the artwork is a way to identify all the library patrons as “one” across a loose geographic area without picking out and representing cultural differences which, while is important to celebrate diversity, becomes tricky when it becomes a symbol of ownership and belonging. We all have an innate desire see ourselves in the world around us and understand that we belong somewhere. Through identifying with a character, a cultural symbol or in the capturing of a moment that contains us (the selfie), we place ourselves within acertain context. The artwork takes the form of ?Head in hole? photo board to create a situation in which people of all ages can simultaneously identify with a character/animal, and see themselves within it. It is a sculptural activation of the imaginative process involved in reading. The holes provide the opportunity to see yourself in the mirror as the animal from a distance, or they invite you to peer inside.",VPL n???c?a?mat ct Strathcona Branch Library,730 East Hastings Street,Strathcona,49.281065,-123.088927
Pattern Reflection,2017,In place,Two black granite columns with a modernist carved pattern and a modernist inspired black granite sculpture.,The patterns were partly referencing paintings by the artist BC Binning and architectural patterning from the Coast Modern era.,,"2806 Cambie Street,",Fairview,49.260162,-123.114618
